Year,SERIES,UNIT_MEASURE,Пол,Value
2013.0,Стопа смртности мајки,На 100.000 живорођених,,0.0
2014.0,Стопа смртности мајки,На 100.000 живорођених,,0.0
2015.0,Стопа смртности мајки,На 100.000 живорођених,,0.0
2016.0,Стопа смртности мајки,На 100.000 живорођених,,0.0
2017.0,Стопа смртности мајки,На 100.000 живорођених,,0.0
2018.0,Стопа смртности мајки,На 100.000 живорођених,,0.0
2019.0,Стопа смртности мајки,На 100.000 живорођених,,11.1
2020.0,Стопа смртности мајки,На 100.000 живорођених,,5.8
2021.0,Стопа смртности мајки,На 100.000 живорођених,,5.9
2022.0,Стопа смртности мајки,На 100.000 живорођених,,24.2
2013.0,SH_STA_FERT,,,1.29
2014.0,SH_STA_FERT,,,1.29
2015.0,SH_STA_FERT,,,1.26
2016.0,SH_STA_FERT,,,1.28
2017.0,SH_STA_FERT,,,1.29
2018.0,SH_STA_FERT,,,1.25
2019.0,SH_STA_FERT,,,1.21
2020.0,SH_STA_FERT,,,1.16
2021.0,SH_STA_FERT,,,1.15
2022.0,SH_STA_FERT,,,1.13
,,,,
,,,,
,,,,
,,,,
