Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2013.0,TX_EXP_PERCOUNT,PT,C_GER,18.8
2013.0,TX_EXP_PERCOUNT,PT,C_CRO,14.7
2013.0,TX_EXP_PERCOUNT,PT,C_ITA,10.6
2013.0,TX_EXP_PERCOUNT,PT,C_AUT,8.3
2013.0,TX_EXP_PERCOUNT,PT,C_SLO,7.9
2013.0,TX_EXP_PERCOUNT,PT,C_SRB,5.9
2013.0,TX_EXP_PERCOUNT,PT,C_MNE,2.7
2013.0,TX_EXP_PERCOUNT,PT,C_CZE,2.2
2013.0,TX_EXP_PERCOUNT,PT,C_TUR,2.1
2013.0,TX_EXP_PERCOUNT,PT,C_KOS,1.9
2013.0,TX_EXP_PERCOUNT,PT,OTH,25.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2020.0,TX_IMP_GBSVR,PT,,0.01065
2021.0,TX_IMP_GBSVR,PT,,0.01232
